id,cohort,freq,level,mag,phase
WT-1,WT (mixed C57BL/6:FVB),2,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),2,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),2,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),2,40,NA,NA
WT-1,WT (mixed C57BL/6:FVB),2,50,0.994516230987148,2.190891817420539
WT-1,WT (mixed C57BL/6:FVB),2,60,3.56426436565854,1.8526797895192604
WT-1,WT (mixed C57BL/6:FVB),2,70,10.4650621836856,1.1721203339651496
WT-1,WT (mixed C57BL/6:FVB),2,80,32.0177951241886,0.5679656583332969
WT-1,WT (mixed C57BL/6:FVB),2.5,10,0.726731972422762,7.6555652347383
WT-1,WT (mixed C57BL/6:FVB),2.5,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),2.5,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),2.5,40,NA,NA
WT-1,WT (mixed C57BL/6:FVB),2.5,50,2.46834038640163,0.6843743125717948
WT-1,WT (mixed C57BL/6:FVB),2.5,60,7.21720345975525,0.114521119172975
WT-1,WT (mixed C57BL/6:FVB),2.5,70,16.371696081965,-0.658154221131179
WT-1,WT (mixed C57BL/6:FVB),2.5,80,55.7424189103346,-1.3217592626572725
WT-1,WT (mixed C57BL/6:FVB),3,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),3,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),3,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),3,40,1.37298041331388,-0.8568629898363259
WT-1,WT (mixed C57BL/6:FVB),3,50,4.05938324070839,-0.7850912563774113
WT-1,WT (mixed C57BL/6:FVB),3,60,8.22011172111193,-2.1527805521374823
WT-1,WT (mixed C57BL/6:FVB),3,70,20.7117946307779,-2.8199739430991944
WT-1,WT (mixed C57BL/6:FVB),3,80,76.4580719789356,-3.371731002235106
WT-1,WT (mixed C57BL/6:FVB),3.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),3.5,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),3.5,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),3.5,40,1.41276528639415,-3.777175528333341
WT-1,WT (mixed C57BL/6:FVB),3.5,50,3.3170036028103,-3.869368943347321
WT-1,WT (mixed C57BL/6:FVB),3.5,60,10.1511636283775,-2.9354825844072767
WT-1,WT (mixed C57BL/6:FVB),3.5,70,28.0785478264761,-4.762079393217037
WT-1,WT (mixed C57BL/6:FVB),3.5,80,99.1109792211746,-5.429271051192251
WT-1,WT (mixed C57BL/6:FVB),4,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),4,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),4,30,1.1975318074208,-9.014409044525426
WT-1,WT (mixed C57BL/6:FVB),4,40,2.69752352592683,-5.460469698807726
WT-1,WT (mixed C57BL/6:FVB),4,50,6.25765420744536,-5.615301608205061
WT-1,WT (mixed C57BL/6:FVB),4,60,14.9923155926207,-6.277680284112448
WT-1,WT (mixed C57BL/6:FVB),4,70,44.5327039935482,-6.715189790925079
WT-1,WT (mixed C57BL/6:FVB),4,80,143.72569392806,-7.5051043716550225
WT-1,WT (mixed C57BL/6:FVB),4.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),4.5,20,1.03409832359205,-6.891761326443727
WT-1,WT (mixed C57BL/6:FVB),4.5,30,1.29544876568292,-7.684395854364749
WT-1,WT (mixed C57BL/6:FVB),4.5,40,3.16473674764176,-6.714721727917404
WT-1,WT (mixed C57BL/6:FVB),4.5,50,7.92844827644936,-8.021202318161846
WT-1,WT (mixed C57BL/6:FVB),4.5,60,23.6835235467159,-8.209001556494044
WT-1,WT (mixed C57BL/6:FVB),4.5,70,59.7770072758585,-9.171794469243896
WT-1,WT (mixed C57BL/6:FVB),4.5,80,191.6994060431,-9.798553151452456
WT-1,WT (mixed C57BL/6:FVB),5,10,0.713203555598062,-11.158811089228664
WT-1,WT (mixed C57BL/6:FVB),5,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),5,30,1.68306210311555,-9.913598109786667
WT-1,WT (mixed C57BL/6:FVB),5,40,5.17249606397082,-10.24759487595466
WT-1,WT (mixed C57BL/6:FVB),5,50,11.8497625128621,-10.48256691713132
WT-1,WT (mixed C57BL/6:FVB),5,60,27.3736696828806,-10.920099579127768
WT-1,WT (mixed C57BL/6:FVB),5,70,79.717315130414,-11.759580315384683
WT-1,WT (mixed C57BL/6:FVB),5,80,242.849728695133,-12.316452133818474
WT-1,WT (mixed C57BL/6:FVB),5.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),5.5,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),5.5,30,1.37703947392809,-11.226433646564994
WT-1,WT (mixed C57BL/6:FVB),5.5,40,3.50770540519531,-11.266561422213872
WT-1,WT (mixed C57BL/6:FVB),5.5,50,9.94160450386523,-11.548192717153638
WT-1,WT (mixed C57BL/6:FVB),5.5,60,24.9763830858627,-13.090526294690807
WT-1,WT (mixed C57BL/6:FVB),5.5,70,67.6929213765538,-14.046424555991605
WT-1,WT (mixed C57BL/6:FVB),5.5,80,211.661725697549,-14.775934393069967
WT-1,WT (mixed C57BL/6:FVB),6,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),6,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),6,30,1.24362374748844,-13.263003712180934
WT-1,WT (mixed C57BL/6:FVB),6,40,3.04291981179303,-14.559747117071913
WT-1,WT (mixed C57BL/6:FVB),6,50,10.0380037972449,-13.42084977871596
WT-1,WT (mixed C57BL/6:FVB),6,60,24.2596861484594,-13.811276101398784
WT-1,WT (mixed C57BL/6:FVB),6,70,66.521194172631,-16.105610274586127
WT-1,WT (mixed C57BL/6:FVB),6,80,184.455644115499,-15.743055556192568
WT-1,WT (mixed C57BL/6:FVB),6.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),6.5,20,0.81665070950621,-11.973939290155876
WT-1,WT (mixed C57BL/6:FVB),6.5,30,1.18260720015163,-14.859972735320216
WT-1,WT (mixed C57BL/6:FVB),6.5,40,4.10489978855488,-16.116064136024093
WT-1,WT (mixed C57BL/6:FVB),6.5,50,11.8259590705576,-16.433770367901253
WT-1,WT (mixed C57BL/6:FVB),6.5,60,25.5072250628659,-16.983797181549637
WT-1,WT (mixed C57BL/6:FVB),6.5,70,57.9640028935834,-16.96751088378694
WT-1,WT (mixed C57BL/6:FVB),6.5,80,146.307728360316,-17.90368029481205
WT-1,WT (mixed C57BL/6:FVB),7,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),7,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),7,30,1.5318579512596,-18.14600521845894
WT-1,WT (mixed C57BL/6:FVB),7,40,4.42329183947382,-18.209133566254305
WT-1,WT (mixed C57BL/6:FVB),7,50,10.4052378601921,-17.22445751060982
